                  20,00000000000000000000000000000000,1,0
                  40,11111111111111111111111111111111,0,0
                  60,00000000000000000000000000000000,1,1
                  80,11111111111111111111111111111110,0,1
                 100,00000000000000000000000000000000,1,0
                 120,00000000000000000000000000000001,0,0
                 140,00000000000000000000000000000001,0,0
                 160,00000000000000000000000000000000,1,0
                 180,11111111111111111111111111111111,0,1
                 200,00000000000000000000000000000001,0,1
                 220,00000000000000000000000000000000,1,0
                 240,00000000000000000000000000000000,1,0
                 260,00000000000000000000000000000000,1,0
                 280,00000000000000000000000000000000,1,0
                 300,11111111111111111111111111111111,0,0
                 320,00000000000000000000010000000000,0,0
                 340,00000000000000000000000000000010,0,0
                 360,00000000000000000000000000000000,1,1
                 380,10000000000000000000000000000000,0,1
